,date,value,period,onediffvalue
0,Oct 07 2013,20880.29725697693,2013-10-07,
1,Oct 08 2013,19583.11723929805,2013-10-08,-1297.1800176788784
2,Oct 09 2013,19484.229539315256,2013-10-09,-98.88769998279531
3,Oct 10 2013,19566.663679072535,2013-10-10,82.4341397572789
4,Oct 11 2013,21050.076131593636,2013-10-11,1483.412452521101
5,Oct 12 2013,31944.725697343893,2013-10-12,10894.649565750256
6,Oct 13 2013,28912.421963220906,2013-10-13,-3032.3037341229865
7,Oct 14 2013,22664.155828000406,2013-10-14,-6248.2661352205
8,Oct 15 2013,19595.588480710154,2013-10-15,-3068.5673472902527
9,Oct 16 2013,21380.662383326817,2013-10-16,1785.073902616663
10,Oct 17 2013,18849.429344481403,2013-10-17,-2531.233038845414
11,Oct 18 2013,20260.511936027957,2013-10-18,1411.0825915465539
12,Oct 19 2013,28334.755718460867,2013-10-19,8074.24378243291
13,Oct 20 2013,27139.867971026157,2013-10-20,-1194.88774743471
14,Oct 21 2013,19546.906860134153,2013-10-21,-7592.9611108920035
15,Oct 22 2013,18453.171170958805,2013-10-22,-1093.735689175348
16,Oct 23 2013,19184.77339009778,2013-10-23,731.6022191389748
17,Oct 24 2013,18152.84609278561,2013-10-24,-1031.9272973121697
18,Oct 25 2013,25243.615353049154,2013-10-25,7090.769260263543
19,Oct 26 2013,26795.604486133645,2013-10-26,1551.9891330844912
20,Oct 27 2013,26962.332948413008,2013-10-27,166.72846227936316
21,Oct 28 2013,18271.514518981032,2013-10-28,-8690.818429431976
22,Oct 29 2013,17789.259533316465,2013-10-29,-482.25498566456736
23,Oct 30 2013,17767.5865750925,2013-10-30,-21.672958223964088
24,Oct 31 2013,18078.19810938579,2013-10-31,310.6115342932899
25,Nov 01 2013,20327.234581566205,2013-11-01,2249.0364721804144
26,Nov 02 2013,27693.312224883775,2013-11-02,7366.077643317571
27,Nov 03 2013,28529.475101020067,2013-11-03,836.1628761362917
28,Nov 04 2013,20082.746006596368,2013-11-04,-8446.7290944237
29,Nov 05 2013,18692.035092323593,2013-11-05,-1390.710914272775
30,Nov 06 2013,18240.42584762829,2013-11-06,-451.60924469530437
31,Nov 07 2013,18390.25140921392,2013-11-07,149.82556158563239
32,Nov 08 2013,19956.58766695899,2013-11-08,1566.336257745068
33,Nov 09 2013,28554.60329849702,2013-11-09,8598.01563153803
34,Nov 10 2013,29192.028311303544,2013-11-10,637.425012806525
35,Nov 11 2013,23088.310748070464,2013-11-11,-6103.71756323308
36,Nov 12 2013,20007.863407271267,2013-11-12,-3080.4473407991973
37,Nov 13 2013,20378.070207656456,2013-11-13,370.2068003851891
38,Nov 14 2013,19091.357105813084,2013-11-14,-1286.713101843372
39,Nov 15 2013,20230.708432577467,2013-11-15,1139.351326764383
40,Nov 16 2013,28713.790335664155,2013-11-16,8483.081903086688
41,Nov 17 2013,30406.14101024729,2013-11-17,1692.3506745831364
42,Nov 18 2013,20157.76813257809,2013-11-18,-10248.3728776692
43,Nov 19 2013,19009.337294966794,2013-11-19,-1148.4308376112967
44,Nov 20 2013,19462.392208890167,2013-11-20,453.05491392337353
45,Nov 21 2013,18847.520864408543,2013-11-21,-614.871344481624
46,Nov 22 2013,20637.24121534326,2013-11-22,1789.7203509347164
47,Nov 23 2013,29693.49219900078,2013-11-23,9056.25098365752
48,Nov 24 2013,31455.838579234845,2013-11-24,1762.3463802340666
49,Nov 25 2013,21694.8087697501,2013-11-25,-9761.029809484746
50,Nov 26 2013,22074.405590057562,2013-11-26,379.5968203074626
51,Nov 27 2013,24420.681411405185,2013-11-27,2346.2758213476227
52,Nov 28 2013,26734.89690433832,2013-11-28,2314.2154929331336
53,Nov 29 2013,27235.927727749546,2013-11-29,501.0308234112272
54,Nov 30 2013,30964.71614395043,2013-11-30,3728.788416200885
55,Dec 01 2013,28257.82790579562,2013-12-01,-2706.88823815481
56,Dec 02 2013,20371.449634965982,2013-12-02,-7886.3782708296385
57,Dec 03 2013,19363.89170105354,2013-12-03,-1007.5579339124415
58,Dec 04 2013,19293.41058632981,2013-12-04,-70.48111472373057
59,Dec 05 2013,19543.51320211575,2013-12-05,250.10261578594145
60,Dec 06 2013,21327.47711534783,2013-12-06,1783.9639132320772
61,Dec 07 2013,29658.693503017137,2013-12-07,8331.216387669308
62,Dec 08 2013,30065.68139100129,2013-12-08,406.9878879841526
63,Dec 09 2013,21880.612508226295,2013-12-09,-8185.068882774995
64,Dec 10 2013,20640.366061475765,2013-12-10,-1240.2464467505306
65,Dec 11 2013,20194.09504442196,2013-12-11,-446.2710170538048
66,Dec 12 2013,19558.878904632344,2013-12-12,-635.2161397896161
67,Dec 13 2013,21038.242000100076,2013-12-13,1479.363095467732
68,Dec 14 2013,29618.811348359173,2013-12-14,8580.569348259098
69,Dec 15 2013,31831.207373847144,2013-12-15,2212.396025487971
70,Dec 16 2013,22321.755212177646,2013-12-16,-9509.452161669498
71,Dec 17 2013,21455.27325657034,2013-12-17,-866.4819556073053
72,Dec 18 2013,21698.14055746506,2013-12-18,242.86730089471894
73,Dec 19 2013,22109.780663762882,2013-12-19,411.64010629782206
74,Dec 20 2013,24620.02422714616,2013-12-20,2510.2435633832793
75,Dec 21 2013,31404.044382066797,2013-12-21,6784.020154920636
76,Dec 22 2013,33146.25291042175,2013-12-22,1742.2085283549495
77,Dec 23 2013,29452.588056765264,2013-12-23,-3693.6648536564826
78,Dec 24 2013,30724.32827773934,2013-12-24,1271.7402209740758
79,Dec 25 2013,38292.22502927823,2013-12-25,7567.896751538887
80,Dec 26 2013,34110.7542835186,2013-12-26,-4181.470745759623
81,Dec 27 2013,34782.717184256595,2013-12-27,671.9629007379917
82,Dec 28 2013,36281.2640824714,2013-12-28,1498.5468982148086
83,Dec 29 2013,36852.860382775565,2013-12-29,571.5963003041616
84,Dec 30 2013,31824.085787102966,2013-12-30,-5028.774595672599
85,Dec 31 2013,33955.78769610499,2013-12-31,2131.701909002026
86,Jan 01 2014,35918.74192674445,2014-01-01,1962.9542306394578
87,Jan 02 2014,33104.9547089044,2014-01-02,-2813.7872178400503
88,Jan 03 2014,32816.46047338625,2014-01-03,-288.49423551814834
89,Jan 04 2014,36546.52239502829,2014-01-04,3730.061921642038
