FIXED TIME,CABLE TV,MAGAZINES,NAT SPOT RADIO,NATL NEWSP,NETWORK RADIO,NETWORK TV,NEWSPAPER,OUTDOOR,SPOT TV,SUNDAY MAGS,SYNDICATION,TOTAL,Unnamed: 0,value,onediffvalue,TOTALdiff,valuediff
2013-10-07,54.6,0.0,0.0,0.0,0.0,222.9,0.0,0.0,19.8,0.0,263.2,560.5,3,23060.218786688743,1338.6874510406626,,
2013-10-14,21.3,0.0,0.0,0.0,0.0,117.2,0.0,0.0,9.7,0.0,413.5,561.7,10,22603.56738029054,-253.22199888496456,1.2000000000000455,-456.6514063982031
2013-10-21,14.1,0.0,0.0,0.0,0.0,145.8,0.0,0.0,10.3,0.0,279.1,449.3,17,22048.46432879602,-25.362146087592787,-112.40000000000003,-555.1030514945196
2013-10-28,3.7,0.0,0.0,0.0,0.0,44.7,0.0,233.0,21.5,0.0,326.1,629.0999999999999,24,21208.082949177973,223.87745037243698,179.7999999999999,-840.3813796180475
2013-11-04,13.0,0.0,0.0,0.0,0.0,175.9,0.0,0.0,15.1,0.0,215.3,419.3,31,21872.66823321739,94.65045861192525,-209.7999999999999,664.5852840394182
2013-11-11,31.9,0.0,0.0,0.0,0.0,194.4,0.0,0.0,13.7,0.0,457.7,697.7,38,23130.891606757166,173.4446712776782,278.40000000000003,1258.223373539775
2013-11-18,1.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,404.5,45,22751.94149920321,149.95679556965086,-293.20000000000005,-378.9501075539556
2013-11-25,358.7,387.4,25.0,0.0,5.0,1704.0,207.4,903.2,15.7,0.0,277.2,3883.6,52,25911.894921863826,-456.858667634175,3479.1,3159.9534226606156
2013-12-02,338.6,0.0,174.9,0.0,34.9,988.3,0.0,0.0,16.1,0.0,239.8,1792.6000000000001,59,22803.44530483305,258.2647836008099,-2091.0,-3108.4496170307757
2013-12-09,339.2,378.8,174.9,0.0,34.9,197.5,44.7,0.0,26.4,0.0,191.4,1387.9,66,23537.459034437536,252.21799754940776,-404.70000000000005,734.013729604485
2013-12-16,605.4,390.9,174.9,0.0,34.9,816.9,0.0,0.0,43.2,0.0,194.3,2260.5,73,25250.753029944375,187.86364808208603,872.5999999999999,1713.2939955068396
2013-12-23,1082.5,324.4,174.9,0.0,34.9,2449.0,45.4,0.0,6.0,0.0,338.5,4455.599999999999,80,34356.67675668643,529.5153531934027,2195.0999999999995,9105.923726742054
2013-12-30,977.4000000000001,1103.0,50.0,0.0,10.0,2758.3999999999996,0.0,461.69999999999993,40.2,0.0,450.0,5850.599999999999,87,34419.22096469247,-12.123802457094175,1395.0,62.54420800603839
2014-01-06,49.7,0.0,0.0,0.0,0.0,68.1,0.0,0.0,42.1,0.0,384.6,544.5,94,27706.918914623366,-353.53773919564264,-5306.099999999999,-6712.302050069102
2014-01-13,31.8,192.3,0.0,0.0,0.0,45.3,0.0,0.0,14.4,0.0,292.4,576.2,101,25861.599604968844,-105.98939792496198,31.700000000000045,-1845.319309654522
2014-01-20,162.3,0.0,0.0,0.0,0.0,68.1,0.0,0.0,18.2,0.0,312.4,561.0,108,27401.86523104392,143.8063832808496,-15.200000000000045,1540.2656260750773
2014-01-27,31.5,264.5,0.0,0.0,0.0,44.5,0.0,445.20000000000005,14.5,0.0,498.1,1298.3,115,24550.3429110437,-730.7368380210906,737.3,-2851.522320000222
2014-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,76.3,122,22957.9008077095,127.43011283362914,-1222.0,-1592.4421033342005
2014-02-10,0.0,58.4,0.0,160.3,0.0,0.0,157.0,0.0,0.0,0.0,564.4,940.1,129,23863.72683621734,272.3238170463722,863.8000000000001,905.8260285078431
2014-02-17,0.0,529.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.3,725.0,136,23705.99914591401,-140.99465182450098,-215.10000000000002,-157.72769030333075
2014-02-24,144.6,2021.0,0.0,0.0,0.0,609.5,0.0,101.0,2.2,0.0,147.1,3025.2000000000003,143,23407.991721865044,117.98098962897764,2300.2000000000003,-298.00742404896664
2014-03-03,35.9,334.4,0.0,0.0,0.0,157.6,0.0,0.0,12.6,0.0,47.4,587.9,150,22102.981347353063,-471.93349436995675,-2437.3,-1305.0103745119814
2014-03-10,386.8,0.0,0.0,0.0,0.0,109.2,0.0,0.0,12.0,0.0,358.5,866.5,157,21108.237009272438,-60.02836025460387,278.6,-994.7443380806253
2014-03-17,1305.5,0.0,0.0,0.0,0.0,1821.9,0.0,0.0,11.3,0.0,263.4,3402.2,164,20150.69770188341,-261.27962579786777,2535.7,-957.5393073890264
2014-03-24,2823.9,0.0,0.0,0.0,0.0,2785.7,0.0,0.0,11.7,0.0,131.1,5752.4,171,20679.730905189168,110.6371370335893,2350.2,529.0332033057566
2014-03-31,1797.1,0.0,0.0,0.0,0.0,21.1,0.0,65.5,0.5,0.0,475.3,2359.3999999999996,178,20254.374629249738,-145.27921499498254,-3393.0,-425.3562759394299
2014-04-07,12.7,0.0,0.0,0.0,0.0,1511.8,0.0,0.0,0.1,0.0,72.6,1597.2,185,19144.918440203994,-104.07853040387545,-762.1999999999996,-1109.4561890457444
2014-04-14,395.4,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,140.2,732.8,192,20258.958396002497,-113.31798817228251,-864.4000000000001,1114.0399557985038
2014-04-21,416.9,0.0,0.0,0.0,0.0,40.3,0.0,0.0,14.6,0.0,389.0,860.8,199,19886.70305996793,113.63475004405674,128.0,-372.2553360345664
2014-04-28,3.9,0.0,0.0,0.0,0.0,74.1,0.0,814.4,8.7,0.0,96.6,997.7,206,20859.832653907157,-109.24679006950721,136.9000000000001,973.1295939392257
2014-05-05,187.0,444.3,0.0,0.0,0.0,57.0,0.0,0.0,9.1,0.0,29.4,726.8,213,18471.43175363125,-142.5988919290829,-270.9000000000001,-2388.4009002759085
2014-05-12,436.9,484.4,0.0,0.0,0.0,940.2,0.0,0.0,7.4,0.0,98.7,1967.5,220,19013.35088855821,245.91745848805493,1240.7,541.9191349269604
2014-05-19,79.6,0.0,0.0,0.0,0.0,1409.0,0.0,0.0,9.7,0.0,380.8,1879.1,227,19029.07106216825,-83.70580647264835,-88.40000000000009,15.720173610039637
2014-05-26,575.0999999999999,606.9,0.0,0.0,0.0,1013.4,125.4,366.29999999999995,15.6,0.0,328.8,3031.6,234,20929.068256033333,124.17097524807157,1152.5,1899.9971938650851
2014-06-02,361.6,0.0,0.0,160.3,0.0,900.8,2.6,0.0,20.7,0.0,228.5,1674.5,241,21619.461097966738,317.00826029989537,-1357.1,690.3928419334043
2014-06-09,453.4,394.0,0.0,303.20000000000005,0.0,770.8,125.4,0.0,13.1,0.0,697.1,2757.0,248,22089.4135019015,-208.78005811083545,1082.5,469.9524039347634
2014-06-16,620.9,1560.6,0.0,0.0,0.0,825.5999999999999,0.0,0.0,10.1,0.0,754.3000000000001,3771.4,255,21886.968190369247,44.565915659366674,1014.4000000000001,-202.44531153225398
